shop;product;status;price;currency;category;position;absolutePosition;date;image;description
Delimart - Guachipelin 🛒;2 Cerveza Economica + Barcel Chips 42 gr;Unavailable;1500;CRC;Promos Fiesta;7;32;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/ccf4d6d4-6088-4e86-9361-2c65c7741013.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;Precio Especial Bavaria Master Edition;Unavailable;1000;CRC;Promos Fiesta;8;33;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/fa1d7dc2-eaf0-4f1e-8bc1-28e18ea4d750.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;2X1 Cuba Libre Piña Colada;Unavailable;1125;CRC;Promos Fiesta;9;34;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/f1aa4718-d799-4e43-a3aa-2ec603fcf876.jpeg;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;2X Fantini Vino Sangiovese 750Ml;Unavailable;9225;CRC;Promos Fiesta;10;35;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/757e70c5-c7d4-46a7-a007-da1895db9fc8.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;2X ₡2800 Tropical 2.5 lt;Available;2800;CRC;Promos Fiesta;11;36;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/4e7fded2-0819-4b9b-a53e-2044cf05770e.png;undefined
Delimart - Guachipelin 🛒;2X ₡2000 Pepsi Regular 2.5 lt;Sold out;2000;CRC;Promos Fiesta;12;37;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/0c95bd0b-3587-4881-852e-06252b8d5658.png;Sold out
Delimart - Guachipelin 🛒;4X Smirnoff Ice Black Lata 350 ml;Unavailable;4050;CRC;Promos Fiesta;13;38;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/62ff5065-77f6-4313-b306-6900bd2b3058.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;4X Smirnoff Green Aple Lata 350 ml;Unavailable;4050;CRC;Promos Fiesta;14;39;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/a0d87a0c-1f70-408f-822b-8c5a47332caa.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;Sangria Riunite 750 ml+Smirnoff Vodka 375Ml;Unavailable;8805;CRC;Promos Fiesta;15;40;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/9b4b9a95-7e2b-4d91-bd4c-ccab74c5df59.png;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
Delimart - Guachipelin 🛒;2X Sangria Mia 750 ml Blanca;Unavailable;11600;CRC;Promos Fiesta;16;41;Wed Sep 02 2020 09:06:06 GMT-0700 (Mountain Standard Time);https://d1ralsognjng37.cloudfront.net/efbec937-b390-4ab9-be37-c52ad49dd075.jpeg;Disponible para la venta a partir de las 8:am y hasta las 11:59pm. Favor colocar su orden a partir de esta hora para evitar la cancelación del pedido
